artistName,completionYear,detailsUrl,imageUrl,title
Claude Monet,1873,http://www.wikiart.org/en/claude-monet/impression-sunrise,https://uploads2.wikiart.org/images/claude-monet/impression-sunrise.jpg,"Impression, sunrise"
Vincent van Gogh,1889,http://www.wikipaintings.org/en/vincent-van-gogh/the-starry-night-1889,https://uploads4.wikiart.org/00142/images/vincent-van-gogh/the-starry-night.jpg,The Starry Night
Georges Seurat,1886,http://www.wikipaintings.org/en/georges-seurat/sunday-afternoon-on-the-island-of-la-grande-jatte-1886,https://uploads4.wikiart.org/images/georges-seurat/sunday-afternoon-on-the-island-of-la-grande-jatte-1886.jpg,Sunday Afternoon on the Island of La Grande Jatte
Claude Monet,1884,http://www.wikipaintings.org/en/claude-monet/haystacks-at-giverny,https://uploads4.wikiart.org/images/claude-monet/haystacks-at-giverny.jpg,Haystacks at Giverny
William Turner,1805,http://www.wikipaintings.org/en/william-turner/the-shipwreck,https://uploads8.wikiart.org/images/william-turner/the-shipwreck.jpg,The Shipwreck
Paul Cezanne,1892,http://www.wikipaintings.org/en/paul-cezanne/the-card-players-1892,https://uploads5.wikiart.org/images/paul-cezanne/the-card-players-1892.jpg,The Card Players
Paul Cezanne,1900,http://www.wikipaintings.org/en/paul-cezanne/large-bathers-1900,https://uploads2.wikiart.org/images/paul-cezanne/large-bathers-1900.jpg,Large Bathers
Paul Cezanne,1895,http://www.wikipaintings.org/en/paul-cezanne/mont-sainte-victoire-3,https://uploads6.wikiart.org/images/paul-cezanne/mont-sainte-victoire-3.jpg,Mont Sainte-Victoire
Henri de Toulouse-Lautrec,1890,http://www.wikipaintings.org/en/henri-de-toulouse-lautrec/at-the-moulin-rouge-the-dance-1890,https://uploads4.wikiart.org/images/henri-de-toulouse-lautrec/at-the-moulin-rouge-the-dance-1890.jpg,"At the Moulin Rouge, The Dance"
Edouard Manet,1874,http://www.wikipaintings.org/en/edouard-manet/the-monet-family-in-their-garden-at-argenteuil-1874,https://uploads3.wikiart.org/images/edouard-manet/the-monet-family-in-their-garden-at-argenteuil-1874(1).jpg,The Monet family in their garden at Argenteuil
Pieter Bruegel the Elder,1559,http://www.wikipaintings.org/en/pieter-bruegel-the-elder/netherlandish-proverbs-1559,https://uploads5.wikiart.org/images/pieter-bruegel-the-elder/netherlandish-proverbs-1559.jpg,Netherlandish Proverbs
Vincent van Gogh,1890,http://www.wikipaintings.org/en/vincent-van-gogh/rest-work-after-millet-1890,https://uploads6.wikiart.org/images/vincent-van-gogh/rest-work-after-millet-1890.jpg,Rest Work (after Millet)
Henri Rousseau,1897,http://www.wikipaintings.org/en/henri-rousseau/the-sleeping-gypsy-1897,https://uploads0.wikiart.org/images/henri-rousseau/the-sleeping-gypsy-1897.jpg,The Sleeping Gypsy
Claude Lorrain,1646,http://www.wikipaintings.org/en/claude-lorrain/embarkation-of-ulysses-1646,https://uploads4.wikiart.org/images/claude-lorrain/embarkation-of-ulysses-1646.jpg,Embarkation of Ulysses
Thomas Eakins,1871,http://www.wikipaintings.org/en/thomas-eakins/max-schmitt-in-a-single-scull-1871,https://uploads1.wikiart.org/images/thomas-eakins/max-schmitt-in-a-single-scull-1871.jpg,Max Schmitt in a Single Scull
Alfred Sisley,1866,http://www.wikipaintings.org/en/alfred-sisley/street-of-marlotte-also-known-as-women-going-to-the-woods-1866,https://uploads2.wikiart.org/images/alfred-sisley/street-of-marlotte-also-known-as-women-going-to-the-woods-1866.jpg,Street of Marlotte (also known as Women Going to the Woods)
Camille Pissarro,1864,http://www.wikipaintings.org/en/camille-pissarro/banks-of-a-river-with-barge,https://uploads6.wikiart.org/images/camille-pissarro/banks-of-a-river-with-barge.jpg,Banks of a River with Barge
Mary Cassatt,1895,http://www.wikipaintings.org/en/mary-cassatt/feeding-the-ducks-1895,https://uploads6.wikiart.org/images/mary-cassatt/feeding-the-ducks-1895.jpg,Feeding the Ducks
Winslow Homer,1873,http://www.wikipaintings.org/en/winslow-homer/gloucester-harbor,https://uploads2.wikiart.org/images/winslow-homer/gloucester-harbor.jpg,Gloucester Harbor
Winslow Homer,1885,http://www.wikipaintings.org/en/winslow-homer/the-coral-divers,https://uploads1.wikiart.org/images/winslow-homer/the-coral-divers.jpg,The coral divers
Winslow Homer,-1,http://www.wikipaintings.org/en/winslow-homer/the-herring-net,https://uploads0.wikiart.org/images/winslow-homer/the-herring-net.jpg,The Herring Net
Winslow Homer,-1,http://www.wikipaintings.org/en/winslow-homer/rainy-day-in-camp-also-known-as-camp-near-yorktown,https://uploads8.wikiart.org/images/winslow-homer/rainy-day-in-camp-also-known-as-camp-near-yorktown.jpg,Rainy Day in Camp (also known as Camp near Yorktown)
Winslow Homer,1865,http://www.wikipaintings.org/en/winslow-homer/the-veteran-in-a-new-field,https://uploads2.wikiart.org/images/winslow-homer/the-veteran-in-a-new-field.jpg,The Veteran in a New Field
Alfred Sisley,1884,http://www.wikipaintings.org/en/alfred-sisley/the-dam-loing-canal-at-saint-mammes-1884,https://uploads7.wikiart.org/images/alfred-sisley/the-dam-loing-canal-at-saint-mammes-1884.jpg,"The Dam, Loing Canal at Saint Mammes"
Umberto Boccioni,1915,http://www.wikipaintings.org/en/umberto-boccioni/the-charge-of-the-lancers-1915,https://uploads0.wikiart.org/images/umberto-boccioni/the-charge-of-the-lancers-1915.jpg,The Charge of the Lancers
Kazimir Malevich,1931,http://www.wikipaintings.org/en/kazimir-malevich/spotrsmeny-1931,https://uploads3.wikiart.org/images/kazimir-malevich/spotrsmeny-1931.jpg,Sportsmeny
Masaccio,1425,http://www.wikipaintings.org/en/masaccio/the-tribute-money-1425,https://uploads2.wikiart.org/images/masaccio/the-tribute-money-1425.jpg,The Tribute Money
Katsushika Hokusai,-1,http://www.wikipaintings.org/en/katsushika-hokusai/ocean-waves,https://uploads1.wikiart.org/images/katsushika-hokusai/ocean-waves.jpg,Ocean waves
Nicolas Poussin,1639,http://www.wikipaintings.org/en/nicolas-poussin/et-in-arcadia-ego-1639-1,https://uploads2.wikiart.org/images/nicolas-poussin/not_detected_189892-1639.jpg,Et in Arcadia ego
Michelangelo,1510,http://www.wikipaintings.org/en/michelangelo/sistine-chapel-ceiling-creation-of-adam-1510,https://uploads1.wikiart.org/images/michelangelo/sistine-chapel-ceiling-creation-of-adam-1510.jpg,Sistine Chapel Ceiling: Creation of Adam
Katsushika Hokusai,-1,http://www.wikipaintings.org/en/katsushika-hokusai/lake-suwa-in-the-shinano-province,https://uploads5.wikiart.org/images/katsushika-hokusai/lake-suwa-in-the-shinano-province.jpg,Lake Suwa in the Shinano province
Raphael,1511,http://www.wikipaintings.org/en/raphael/school-of-athens-detail-from-right-hand-side-showing-diogenes-on-the-steps-and-euclid-1511,https://uploads6.wikiart.org/images/raphael/school-of-athens-detail-from-right-hand-side-showing-diogenes-on-the-steps-and-euclid-1511.jpg,The School of Athens
Sandro Botticelli,1478,http://www.wikipaintings.org/en/sandro-botticelli/primavera-1478,https://uploads6.wikiart.org/images/sandro-botticelli/primavera-1478(1).jpg,Primavera
Alfred Sisley,1874,http://www.wikipaintings.org/en/alfred-sisley/molesey-weir-at-hampton-court-morning-1874,https://uploads0.wikiart.org/images/alfred-sisley/molesey-weir-at-hampton-court-morning-1874.jpg,Molesey Weir at Hampton Court Morning
Rembrandt,1642,http://www.wikipaintings.org/en/rembrandt/the-nightwatch-1642,https://uploads7.wikiart.org/00121/images/rembrandt/2.jpg,The Nightwatch
